iter	Passed	Remaining
488	661	691
489	663	690
490	664	688
491	665	687
492	667	686
493	668	684
494	669	683
495	671	681
496	672	680
497	673	679
498	674	677
499	676	676
500	677	674
501	678	673
502	680	672
503	681	670
504	682	669
505	684	667
506	685	666
507	686	665
508	688	663
509	689	662
510	690	661
511	692	659
512	693	658
513	695	657
514	696	655
515	697	654
516	699	653
517	700	651
518	701	650
519	703	649
520	704	647
521	705	646
522	707	645
523	708	643
524	710	642
525	711	641
526	712	639
527	714	638
528	715	637
529	716	635
530	718	634
531	719	632
532	720	631
533	722	630
534	723	628
535	724	627
536	726	626
537	727	624
538	728	623
539	730	622
540	731	620
541	732	619
542	734	618
543	735	616
544	737	615
545	738	614
546	739	612
547	741	611
548	742	610
549	743	608
550	745	607
551	746	605
552	748	604
553	749	603
554	750	601
555	751	600
556	753	599
557	754	597
558	756	596
559	757	595
560	758	593
561	760	592
562	761	590
563	770	595
564	776	597
565	778	596
566	779	595
567	783	595
568	784	594
569	785	592
570	787	591
571	788	590
572	790	588
573	791	587
574	792	586
575	794	584
576	795	583
577	796	581
578	798	580
579	799	579
580	801	577
581	802	576
582	803	574
583	804	573
584	806	571
585	807	570
586	809	569
587	810	567
588	811	566
589	813	565
590	814	563
591	815	562
592	817	560
593	818	559
594	819	558
595	821	556
596	822	555
597	824	554
598	825	552
599	826	551
600	828	549
601	829	548
602	831	547
603	832	545
604	833	544
605	835	542
606	836	541
607	837	540
608	839	538
609	840	537
610	842	536
611	843	534
612	844	533
613	846	531
614	847	530
615	848	529
616	850	527
617	851	526
618	852	524
619	854	523
620	855	522
621	857	520
622	858	519
623	859	518
624	861	516
625	862	515
626	863	513
627	865	512
628	866	511
629	868	510
630	869	508
631	871	507
632	872	505
633	873	504
634	875	503
635	876	501
636	877	500
637	879	498
638	880	497
639	881	495
640	883	494
641	884	493
642	885	491
643	887	490
644	888	489
645	889	487
646	891	486
647	892	484
648	894	483
649	895	482
650	896	480
651	897	479
652	899	477
653	900	476
654	902	475
655	903	473
656	904	472
657	905	470
658	907	469
659	908	468
660	909	466
661	911	465
662	912	463
663	914	462
664	915	461
665	916	459
666	918	458
667	919	456
668	920	455
669	922	454
670	923	452
671	924	451
672	926	450
673	927	448
674	928	447
675	930	445
676	931	444
677	932	442
678	933	441
679	935	440
680	936	438
681	937	437
682	939	435
683	940	434
684	941	433
685	943	431
686	944	430
687	945	428
688	948	427
689	949	426
690	950	425
691	952	423
692	953	422
693	954	420
694	955	419
695	957	418
696	958	416
697	959	415
698	961	413
699	962	412
700	963	411
701	965	409
702	966	408
703	967	406
704	968	405
705	970	404
706	971	402
707	972	401
708	974	399
709	975	398
710	977	397
711	978	395
712	979	394
713	981	393
714	982	391
715	983	390
716	985	388
717	986	387
718	987	386
719	989	384
720	990	383
721	991	381
722	993	380
723	994	379
724	996	377
725	997	376
726	998	375
727	1000	373
728	1001	372
729	1002	370
730	1004	369
731	1005	368
732	1007	366
733	1008	365
734	1009	364
735	1011	362
736	1012	361
737	1013	359
738	1015	358
739	1016	357
740	1017	355
741	1019	354
742	1020	352
743	1021	351
744	1022	350
745	1024	348
746	1025	347
747	1027	346
748	1028	344
749	1030	343
750	1031	342
751	1032	340
752	1034	339
753	1035	337
754	1036	336
755	1037	335
756	1039	333
757	1040	332
758	1042	330
759	1043	329
760	1044	328
761	1046	326
762	1047	325
763	1048	324
764	1050	322
765	1051	321
766	1052	319
767	1054	318
768	1055	317
769	1057	315
770	1058	314
771	1059	313
772	1061	311
773	1062	310
774	1063	308
775	1065	307
776	1066	306
777	1067	304
778	1069	303
779	1070	301
780	1071	300
781	1072	299
782	1074	297
783	1075	296
784	1077	294
785	1078	293
786	1079	292
787	1081	290
788	1082	289
789	1083	288
790	1085	286
791	1086	285
792	1088	284
793	1089	282
794	1090	281
795	1092	279
796	1093	278
797	1094	277
798	1096	275
799	1097	274
800	1098	272
801	1100	271
802	1101	270
803	1102	268
804	1104	267
805	1105	266
806	1106	264
807	1108	263
808	1109	261
809	1111	260
810	1112	259
811	1113	257
812	1115	256
813	1116	255
814	1117	253
815	1119	252
816	1120	250
817	1121	249
818	1123	248
819	1124	246
820	1125	245
821	1127	244
822	1128	242
823	1129	241
824	1131	239
825	1132	238
826	1134	237
827	1135	235
828	1136	234
829	1138	233
830	1139	231
831	1140	230
832	1142	228
833	1143	227
834	1144	226
835	1146	224
836	1147	223
837	1148	222
838	1150	220
839	1151	219
840	1152	217
841	1154	216
842	1155	215
843	1157	213
844	1158	212
845	1159	211
846	1161	209
847	1162	208
848	1163	206
849	1165	205
850	1166	204
851	1167	202
852	1169	201
853	1170	200
854	1171	198
855	1173	197
856	1174	195
857	1175	194
858	1177	193
859	1178	191
860	1179	190
861	1180	189
862	1182	187
863	1183	186
864	1185	184
865	1186	183
866	1187	182
867	1188	180
868	1190	179
869	1191	178
870	1192	176
871	1194	175
872	1196	174
873	1197	172
874	1199	171
875	1200	169
876	1201	168
877	1203	167
878	1204	165
879	1206	164
880	1207	163
881	1209	161
882	1210	160
883	1211	158
884	1212	157
885	1214	156
886	1215	154
887	1216	153
888	1218	152
889	1219	150
890	1221	149
891	1222	148
892	1224	146
893	1225	145
894	1226	143
895	1227	142
896	1229	141
897	1230	139
898	1231	138
899	1232	136
900	1234	135
901	1235	134
902	1236	132
903	1238	131
904	1239	130
905	1240	128
906	1242	127
907	1243	126
908	1245	124
909	1246	123
910	1247	121
911	1249	120
912	1250	119
913	1252	117
914	1253	116
915	1254	115
916	1256	113
917	1257	112
918	1259	110
919	1260	109
920	1261	108
921	1263	106
922	1264	105
923	1265	104
924	1267	102
925	1268	101
926	1270	100
927	1271	98
928	1272	97
929	1274	95
930	1275	94
931	1276	93
932	1278	91
933	1279	90
934	1280	89
935	1282	87
936	1283	86
937	1284	84
938	1286	83
939	1287	82
940	1289	80
941	1290	79
942	1291	78
943	1293	76
944	1294	75
945	1295	73
946	1297	72
947	1298	71
948	1299	69
949	1301	68
950	1302	67
951	1303	65
952	1305	64
953	1306	62
954	1307	61
955	1309	60
956	1310	58
957	1312	57
958	1313	56
959	1314	54
960	1316	53
961	1317	52
962	1319	50
963	1320	49
964	1321	47
965	1323	46
966	1324	45
967	1325	43
968	1327	42
969	1328	41
970	1329	39
971	1331	38
972	1332	36
973	1333	35
974	1335	34
975	1336	32
976	1338	31
977	1339	30
978	1340	28
979	1342	27
980	1343	26
981	1345	24
982	1346	23
983	1347	21
984	1349	20
985	1350	19
986	1352	17
987	1353	16
988	1354	15
989	1356	13
990	1357	12
991	1358	10
992	1360	9
993	1361	8
994	1362	6
995	1364	5
996	1365	4
997	1366	2
998	1367	1
999	1369	0
