iter	Logloss
0	0.684649185
1	0.6759131471
2	0.6682476949
3	0.6610476237
4	0.6540002041
5	0.6473618369
6	0.6409150984
7	0.63464477
8	0.6293626519
9	0.6239563749
10	0.6188005312
11	0.6139189541
12	0.6093969872
13	0.6049152663
14	0.6008564449
15	0.5973125725
16	0.5934589287
17	0.5897664058
18	0.5862036747
19	0.5829495286
20	0.5797478552
21	0.5770968982
22	0.5743897513
23	0.5717511689
24	0.5690697388
25	0.5665484905
26	0.5640055801
27	0.5618789851
28	0.5600211921
29	0.558031114
30	0.555990329
31	0.554301796
32	0.5525243248
33	0.5506314833
34	0.5488245145
35	0.5473513921
36	0.5459284622
37	0.5445373393
38	0.5432025149
39	0.5419909594
40	0.540672605
41	0.5395408286
42	0.5383191432
43	0.5369897205
44	0.5360053167
45	0.5349364589
46	0.5339473031
47	0.5327924378
48	0.5317178115
49	0.5307327579
50	0.5299094902
51	0.5290352508
52	0.5281713388
53	0.5273983771
54	0.5266040455
55	0.5257866167
56	0.5250245865
57	0.5242413719
58	0.5236356011
59	0.5231238548
60	0.5225006242
61	0.5218851944
62	0.5213403728
63	0.520785077
64	0.5201010504
65	0.5194919229
66	0.5188003685
67	0.5182981791
68	0.5177464554
69	0.5171970631
70	0.5167491244
71	0.5162676249
72	0.5157436259
73	0.5152294346
74	0.5147381591
75	0.5144066004
76	0.5139812655
77	0.5134923566
78	0.5130963854
79	0.5127418815
80	0.5122666678
81	0.5119800527
82	0.5115761746
83	0.5112638604
84	0.5107673475
85	0.5104678703
86	0.510077556
87	0.5097636472
88	0.5094926667
89	0.5091922243
90	0.5088769636
91	0.5085944105
92	0.5082777365
93	0.5079703032
94	0.5077331297
95	0.5074492338
96	0.5071555521
97	0.5069386216
98	0.5067373467
99	0.5064824427
100	0.5062854818
101	0.5060750304
102	0.5058503587
103	0.5056374562
104	0.5053405409
105	0.5051076727
106	0.5047463428
107	0.5044977603
108	0.5042308738
109	0.5040370778
110	0.5037697862
111	0.5035663357
112	0.503330488
113	0.503144589
114	0.5028638084
115	0.5026395402
116	0.502404983
117	0.5022017416
118	0.5020410041
119	0.5018606127
120	0.5017239741
121	0.5014491012
122	0.5012195062
123	0.5008221349
124	0.50057853
125	0.5002621379
126	0.5001661932
127	0.499967963
128	0.4999384164
129	0.4997347815
130	0.4995787912
131	0.4994414313
132	0.4993214644
133	0.4991551575
134	0.4989774145
135	0.4988913401
136	0.4987145597
137	0.4984954587
138	0.4983056409
139	0.498258987
140	0.4981173175
141	0.4978724634
142	0.4976465185
143	0.4975370408
144	0.4972830605
145	0.4970224748
146	0.4968072161
147	0.4966007461
148	0.4964716809
149	0.4963099465
150	0.4961549828
151	0.4960044812
152	0.4958031311
153	0.4956097464
154	0.4954824739
155	0.4952264465
156	0.495004921
157	0.4949066775
158	0.4947441376
159	0.4946822374
160	0.4945617355
161	0.4943853458
162	0.4942722004
163	0.4941917836
164	0.4940789115
165	0.4939134708
166	0.4936716656
167	0.4935104732
168	0.4934291675
169	0.4932735148
170	0.4931578527
171	0.4929551353
172	0.4927552085
173	0.492623962
174	0.492486367
175	0.4922855351
176	0.4921159891
177	0.4920580074
178	0.4919015266
179	0.4918240899
180	0.4917049015
181	0.4916238227
182	0.4915463081
183	0.4913207136
184	0.4911673344
185	0.4909506312
186	0.490779398
187	0.4907034599
188	0.490543324
189	0.4905040522
190	0.4903233121
191	0.4901889374
192	0.4900414796
193	0.4899244975
194	0.4897756011
195	0.4896692771
196	0.4895869134
197	0.4894623522
198	0.4893795355
199	0.4893029373
200	0.4891629152
201	0.4889787566
202	0.4888978475
203	0.4888075624
204	0.488707879
205	0.4885822414
206	0.4884119213
207	0.4883784054
208	0.4882858294
209	0.488109162
210	0.4880023159
211	0.4879022616
212	0.4877902659
213	0.4877479438
214	0.4875694212
215	0.4874336569
216	0.4872701467
217	0.4871855526
218	0.4871442763
219	0.486866643
220	0.4867805367
